set_number,set_name,year_released,number_of_parts,image_url,theme_name
001-1,Gears,1965.0,43.0,https://cdn.rebrickable.com/media/sets/001-1.jpg,Technic
002-1,4.5V Samsonite Gears Motor Set,1965.0,3.0,https://cdn.rebrickable.com/media/sets/002-1.jpg,Technic
1030-1,TECHNIC I: Simple Machines Set,1985.0,210.0,https://cdn.rebrickable.com/media/sets/1030-1.jpg,Technic
1038-1,ERBIE the Robo-Car,1985.0,120.0,https://cdn.rebrickable.com/media/sets/1038-1.jpg,Technic
1039-1,Manual Control Set 1,1986.0,39.0,https://cdn.rebrickable.com/media/sets/1039-1.jpg,Technic
1237-1,Honda Promotional Set,2001.0,56.0,https://cdn.rebrickable.com/media/sets/1237-1.jpg,Technic
1257-1,Trike Buggy,1999.0,30.0,https://cdn.rebrickable.com/media/sets/1257-1.jpg,Technic
1258-1,Propellor Buggy,1999.0,29.0,https://cdn.rebrickable.com/media/sets/1258-1.jpg,Technic
1259-1,Motorbike,1999.0,28.0,https://cdn.rebrickable.com/media/sets/1259-1.jpg,Technic
1260-1,Car,1999.0,26.0,https://cdn.rebrickable.com/media/sets/1260-1.jpg,Technic
1268-1,Bike Blaster,1999.0,28.0,https://cdn.rebrickable.com/media/sets/1268-1.jpg,Technic
1924-1,Motorcycle,1983.0,103.0,https://cdn.rebrickable.com/media/sets/1924-1.jpg,Technic
1972-1,Go-Cart,1985.0,98.0,https://cdn.rebrickable.com/media/sets/1972-1.jpg,Technic
2129-1,Blast-Off Dragster,1997.0,64.0,https://cdn.rebrickable.com/media/sets/2129-1.jpg,Technic
2544-1,Motorcycle,1998.0,28.0,https://cdn.rebrickable.com/media/sets/2544-1.jpg,Technic
3000-1,Trike Buggy,1999.0,30.0,https://cdn.rebrickable.com/media/sets/3000-1.jpg,Technic
3001-1,Kabaya Promotional Set: Propeller Buggy,1999.0,29.0,https://cdn.rebrickable.com/media/sets/3001-1.jpg,Technic
3003-1,Motorbike,1999.0,28.0,https://cdn.rebrickable.com/media/sets/3003-1.jpg,Technic
3005-1,Kabaya Promotional Set: Car,1999.0,26.0,https://cdn.rebrickable.com/media/sets/3005-1.jpg,Technic
30433-1,Volvo Wheel Loader,2022.0,69.0,https://cdn.rebrickable.com/media/sets/30433-1.jpg,Technic
30465-1,Helicopter,2021.0,70.0,https://cdn.rebrickable.com/media/sets/30465-1.jpg,Technic
3054-1,Kelloggs Promotional Set: TECHNIC Motorcycle,1998.0,30.0,https://cdn.rebrickable.com/media/sets/3054-1.jpg,Technic
3057-1,Create 'n' Race - Master Builders,2000.0,106.0,https://cdn.rebrickable.com/media/sets/3057-1.jpg,Technic
30655-1,Forklift with Pallet,2023.0,78.0,https://cdn.rebrickable.com/media/sets/30655-1.jpg,Technic
41999-1,4 x 4 Crawler Exclusive Edition,2013.0,1584.0,https://cdn.rebrickable.com/media/sets/41999-1.jpg,Technic
42000-1,Grand Prix Racer,2013.0,1141.0,https://cdn.rebrickable.com/media/sets/42000-1.jpg,Technic
42001-1,Mini Off-Roader,2013.0,100.0,https://cdn.rebrickable.com/media/sets/42001-1.jpg,Technic
42002-1,Hovercraft,2013.0,170.0,https://cdn.rebrickable.com/media/sets/42002-1.jpg,Technic
42004-1,Mini Backhoe Loader,2013.0,246.0,https://cdn.rebrickable.com/media/sets/42004-1.jpg,Technic
42005-1,Monster Truck,2013.0,329.0,https://cdn.rebrickable.com/media/sets/42005-1.jpg,Technic
42006-1,Excavator,2013.0,720.0,https://cdn.rebrickable.com/media/sets/42006-1.jpg,Technic
42007-1,Moto Cross Bike,2013.0,253.0,https://cdn.rebrickable.com/media/sets/42007-1.jpg,Technic
42008-1,Service Truck,2013.0,1276.0,https://cdn.rebrickable.com/media/sets/42008-1.jpg,Technic
42009-1,Mobile Crane MK II,2013.0,2607.0,https://cdn.rebrickable.com/media/sets/42009-1.jpg,Technic
42010-1,Off-Road Racer,2013.0,160.0,https://cdn.rebrickable.com/media/sets/42010-1.jpg,Technic
42011-1,Race Car,2013.0,158.0,https://cdn.rebrickable.com/media/sets/42011-1.jpg,Technic
42020-1,Twin-rotor Helicopter,2014.0,145.0,https://cdn.rebrickable.com/media/sets/42020-1.jpg,Technic
42021-1,Snowmobile,2014.0,186.0,https://cdn.rebrickable.com/media/sets/42021-1.jpg,Technic
42022-1,Hot Rod,2014.0,414.0,https://cdn.rebrickable.com/media/sets/42022-1.jpg,Technic
42023-1,Construction Crew,2014.0,836.0,https://cdn.rebrickable.com/media/sets/42023-1.jpg,Technic
42024-1,Container Truck,2014.0,948.0,https://cdn.rebrickable.com/media/sets/42024-1.jpg,Technic
